State,Year,Year_Start,Annual_EV_Registrations,Avg_EV_Share_Percentage,Cumulative_EV_Registrations
Andhra Pradesh,2000-01,2000,6.0,0.0033333333333333335,6.0
Andhra Pradesh,2001-02,2001,4.0,0.0016666666666666668,10.0
Andhra Pradesh,2002-03,2002,3.0,0.0008333333333333334,13.0
Andhra Pradesh,2003-04,2003,4.0,0.0016666666666666668,17.0
Andhra Pradesh,2004-05,2004,4.0,0.0008333333333333334,21.0
Andhra Pradesh,2005-06,2005,8.0,0.01,29.0
Andhra Pradesh,2006-07,2006,29.0,0.0016666666666666668,58.0
Andhra Pradesh,2007-08,2007,576.0,0.016666666666666666,634.0
Andhra Pradesh,2008-09,2008,1774.0,0.04666666666666667,2408.0
Andhra Pradesh,2009-10,2009,482.0,0.01,2890.0
Andhra Pradesh,2010-11,2010,218.0,0.008333333333333333,3108.0
Andhra Pradesh,2011-12,2011,52.0,0.0016666666666666668,3160.0
Andhra Pradesh,2012-13,2012,18.0,0.0,3178.0
Andhra Pradesh,2013-14,2013,15.0,0.0008333333333333334,3193.0
Andhra Pradesh,2014-15,2014,10.0,0.0,3203.0
Andhra Pradesh,2015-16,2015,13.0,0.0,3216.0
Andhra Pradesh,2016-17,2016,15.0,0.0033333333333333335,3231.0
Andhra Pradesh,2017-18,2017,38.0,0.0,3269.0
Andhra Pradesh,2018-19,2018,1940.0,0.5925,5209.0
Andhra Pradesh,2019-20,2019,1690.0,2.0749999999999997,6899.0
Andhra Pradesh,2020-21,2020,3134.0,5.633333333333334,10033.0
Andhra Pradesh,2021-22,2021,15411.0,7.878333333333333,25444.0
Andhra Pradesh,2022-23,2022,31985.0,2.214166666666667,57429.0
Andhra Pradesh,2023-24,2023,36329.0,1.4758333333333333,93758.0
Andhra Pradesh,2024-25,2024,54977.0,1.7691666666666668,148735.0
Andhra Pradesh,2025-26,2025,69495.0,2.620833333333333,218230.0
Delhi,2000-01,2000,11.0,0.021666666666666667,11.0
Delhi,2001-02,2001,16.0,0.018333333333333333,27.0
Delhi,2002-03,2002,34.0,0.0275,61.0
Delhi,2003-04,2003,13.0,0.015,74.0
Delhi,2004-05,2004,11.0,0.0008333333333333334,85.0
Delhi,2005-06,2005,0.0,0.0,85.0
Delhi,2006-07,2006,1.0,0.0,86.0
Delhi,2007-08,2007,2.0,0.0,88.0
Delhi,2008-09,2008,749.0,0.030833333333333334,837.0
Delhi,2009-10,2009,680.0,0.02333333333333333,1517.0
Delhi,2010-11,2010,614.0,0.01916666666666667,2131.0
Delhi,2011-12,2011,722.0,0.020833333333333332,2853.0
Delhi,2012-13,2012,242.0,0.007500000000000001,3095.0
Delhi,2013-14,2013,96.0,0.015,3191.0
Delhi,2014-15,2014,51.0,0.0033333333333333335,3242.0
Delhi,2015-16,2015,8645.0,2.971666666666667,11887.0
Delhi,2016-17,2016,21554.0,4.995833333333334,33441.0
Delhi,2017-18,2017,17952.0,4.516666666666667,51393.0
Delhi,2018-19,2018,21419.0,5.710833333333333,72812.0
Delhi,2019-20,2019,23684.0,15.241666666666665,96496.0
Delhi,2020-21,2020,11808.0,12.219166666666666,108304.0
Delhi,2021-22,2021,34504.0,10.939166666666667,142808.0
Delhi,2022-23,2022,67112.0,14.813333333333333,209920.0
Delhi,2023-24,2023,79039.0,18.88083333333333,288959.0
Delhi,2024-25,2024,83555.0,17.1275,372514.0
Delhi,2025-26,2025,107644.0,17.646666666666665,480158.0
Gujarat,2000-01,2000,6.0,0.008333333333333333,6.0
Gujarat,2001-02,2001,8.0,0.0016666666666666668,14.0
Gujarat,2002-03,2002,80.0,0.20666666666666667,94.0
Gujarat,2003-04,2003,18.0,0.0033333333333333335,112.0
Gujarat,2004-05,2004,11.0,0.013333333333333334,123.0
Gujarat,2005-06,2005,17.0,0.05333333333333334,140.0
Gujarat,2006-07,2006,76.0,0.04833333333333334,216.0
