State,Latest_EV_Year,Annual_EV_Registrations_2025_26,Cumulative_EV_Registrations_2025_26,EV_Share_2025_26
Andhra Pradesh,2025-26,69495.0,218230.0,2.620833333333333
Delhi,2025-26,107644.0,480158.0,17.646666666666665
Gujarat,2025-26,86280.0,350476.0,2.3141666666666665
Haryana,2025-26,37137.0,170520.0,5.751666666666666
Karnataka,2025-26,221441.0,762386.0,3.9616666666666664
Kerala,2025-26,115400.0,352288.0,4.072500000000001
Madhya Pradesh,2025-26,158886.0,420139.0,6.601666666666666
Maharashtra,2025-26,278993.0,980785.0,5.276666666666666
Punjab,2025-26,46136.0,150500.0,7.508333333333333
Rajasthan,2025-26,123153.0,480865.0,5.538333333333334
Tamil Nadu,2025-26,190823.0,567634.0,4.1691666666666665
Telangana,2025-26,88881.0,282402.0,4.293333333333333
Uttar Pradesh,2025-26,414565.0,1584541.0,8.341666666666667
West Bengal,2025-26,133390.0,273789.0,8.863333333333335
