"Category","Peak Demand","Peak Met"
" Uttar Pradesh<br>Dec-2020",18185,18185
" Uttar Pradesh<br>Jan-2021",18995,18995
" Uttar Pradesh<br>Feb-2021",18308,18308
" Uttar Pradesh<br>Mar-2021",18593,18593
" Uttar Pradesh<br>Apr-2021",19837,19837
" Uttar Pradesh<br>May-2021",20604,20604
" Uttar Pradesh<br>Jun-2021",24574,24574
" Uttar Pradesh<br>Jul-2021",24965,24795
" Uttar Pradesh<br>Aug-2021",23963,23603
" Uttar Pradesh<br>Sep-2021",22990,22990
" Uttar Pradesh<br>Oct-2021",20174,20174
" Uttar Pradesh<br>Nov-2021",16119,16119
" Uttar Pradesh<br>Dec-2021",18587,18587
" Uttar Pradesh<br>Jan-2022",19840,19840
" Uttar Pradesh<br>Feb-2022",19088,19088
" Uttar Pradesh<br>Feb-2022",19088,19088
" Uttar Pradesh<br>Mar-2022",20479,20479
" Uttar Pradesh<br>Mar-2022",20479,20479
" Uttar Pradesh<br>Apr-2022",21146,21146
" Uttar Pradesh<br>Apr-2022",21146,21146
" Uttar Pradesh<br>May-2022",25046,25046
" Uttar Pradesh<br>May-2022",25046,25046
" Uttar Pradesh<br>Jun-2022",25456,25046
" Uttar Pradesh<br>Jun-2022",25456,25046
" Uttar Pradesh<br>Jul-2022",25951,25951
" Uttar Pradesh<br>Jul-2022",25951,25951
" Uttar Pradesh<br>Aug-2022",25437,25437
" Uttar Pradesh<br>Sep-2022",27369,26589
" Uttar Pradesh<br>Oct-2022",22631,22631
" Uttar Pradesh<br>Nov-2022",17387,17387
" Uttar Pradesh<br>Dec-2022",19970,19970
" Uttar Pradesh<br>Jan-2023",21342,21342
" Uttar Pradesh<br>Feb-2023",18602,18602
" Uttar Pradesh<br>Mar-2023",19572,19572
" Uttar Pradesh<br>Apr-2023",23473,23473
" Uttar Pradesh<br>May-2023",26386,26166
" Uttar Pradesh<br>Jun-2023",27611,27611
" Uttar Pradesh<br>Jul-2023",28704,28284
" Uttar Pradesh<br>Aug-2023",27689,27689
" Uttar Pradesh<br>Sep-2023",27389,27389
" Uttar Pradesh<br>Oct-2023",24096,24096
" Uttar Pradesh<br>Nov-2023",19033,19033
" Uttar Pradesh<br>Dec-2023",19874,19874
" Uttar Pradesh<br>Jan-2024",22703,22703
" Uttar Pradesh<br>Feb-2024",20346,19726
" Uttar Pradesh<br>Mar-2024",21243,21243
" Uttar Pradesh<br>Apr-2024",25462,25462
" Uttar Pradesh<br>May-2024",29727,29727
" Uttar Pradesh<br>Jun-2024",30618,30618
" Uttar Pradesh<br>Jul-2024",30298,30298
" Uttar Pradesh<br>Aug-2024",29126,29126
" Uttar Pradesh<br>Sep-2024",29347,29347
" Uttar Pradesh<br>Oct-2024",26756,26756
" Uttar Pradesh<br>Nov-2024",19929,19929
" Uttar Pradesh<br>Dec-2024",20666,20666
" Uttar Pradesh<br>Jan-2025",22034,22034
" Uttar Pradesh<br>Feb-2025",20456,20456
" Uttar Pradesh<br>Mar-2025",21869,21869
" Uttar Pradesh<br>Apr-2025",26278,26278
" Uttar Pradesh<br>May-2025",29873,29873
" Uttar Pradesh<br>Jun-2025",31486,31486
" Uttar Pradesh<br>Jul-2025",30818,30818
" Uttar Pradesh<br>Aug-2025",30292,30292
" Uttar Pradesh<br>Sep-2025",30260,30255
" Uttar Pradesh<br>Oct-2025",26269,26269
" Uttar Pradesh<br>Nov-2025",19341,19341
" Uttar Pradesh<br>Dec-2025",23070,23070
